label;birth date;death date
Šaban Bajramović;1936-04-16;2008-06-08
Žarko Jovanović;1925-12-26;1985-03-24
A.C. Reed;1926-05-09;2004-02-24
A.L. Doodle Owens;1930-11-28;1999-10-24
A. Amirthalingam;1927-08-26;1989-07-13
A. C. and Mamie Forehand;['1890-08-09', '1895-06-08'];1972-05-09
A. Frank Martin;1894-12-07;1982-06-09
A. J. Masters;1950-12-20;2015-01-12
A. J. Pero;1959-10-14;2015-03-20
A. L. Lloyd;1908-02-29;1982-09-29
A. M. Rajah;1929-07-01;['1989-04-07', '1989-04-08']
A. N. S. Kulasinghe;1919-10-26;2006-02-14
A. P. Carter;1891-12-15;1960-11-07
A. Rafiq;1948-03-05;2013-01-19
A. S. Gnanasambandan;1916-11-10;2002-08-27
A. T. Mahmud;1930-02-03;2010-07-06
A. T. Ummer;1933-03-10;2001-10-15
Amir Khan (singer);1912-08-15;1974-02-13
Amirbai Karnataki;None;1965-03-03
Amirmachmud;1923-02-21;1995-04-21
Amit Saigal;1965-07-06;2012-01-05
Ammar El Sherei;1948-04-16;2012-12-07
Ammouri Mbarek;None;2015-02-14
Amos Milburn;1927-04-01;1980-01-03
Amparo Ochoa;None;1994-02-08
Amru Sani;1925-08-16;2000-08-15
Amy Black;1973-09-17;2009-11-24
Amzi Chapin;None;1835-02-19
Amália Rodrigues;1920-07-23;1999-10-06
Amédé Ardoin;1898-03-11;1942-11-03
Amédée Méreaux;1802-09-17;1874-04-25
Amélie-Julie Candeille;1767-07-31;1834-02-04
Ana Matawhaura Hato;1907-12-30;1953-12-08
Ana Raquel Satre;None;2014-11-18
Anabel Bosch;1976-01-25;2009-01-11
Anahit Tsitsikian;1926-08-26;1999-05-02
Anand Modak;1951-05-13;2014-05-23
Ananda Shankar;1942-12-11;1999-03-26
Anant Lal;None;2011-03-03
Anastasia Vyaltseva;1871-03-01;1913-02-18
Anastazy Wilhelm Dreszer;1845-04-28;1907-06-02
Anatol Provazník;1887-03-10;1950-09-24
Anatole Fistoulari;1907-08-20;1995-08-21
Anatoliy Yevdokymenko;1942-01-20;2002-10-23
Anatoly Dneprov (singer);1947-04-01;2008-04-05
Anatoly Nikolayevich Alexandrov;None;1982-04-16
Anca Parghel;1957-09-16;2008-12-05
Anders Frandsen;1960-12-08;2012-01-01
Anders Göthberg;1975-10-09;2008-03-30
Anders Ljungqvist;1815-05-10;1896-12-24
Andi Meriem Matalatta;1957-08-31;2010-06-04
Andor Elbert;1934-10-29;2014-05-27
Andor Toth;None;2006-11-28
Andraé Crouch;1942-07-01;2015-01-08
Andre Ryder;1908-08-10;1971-03-05
Andrea Basili;1705-12-16;1777-08-28
Andrea Bernasconi;None;1784-01-27
Andrea Guarneri;None;1698-12-07
Andrea Parodi;1955-07-18;2006-10-17
Andrea True;1943-07-26;2011-11-07
Andrea Veneracion;1928-07-11;2013-07-09
Andrea Zani;1696-11-11;1757-09-28
Andreas Dippel;1866-11-30;1932-05-12
Andreas Hallén;1846-12-22;1925-03-11
Andreas Makris;1930-03-07;2005-02-03
Andrew Bisset;1953-01-20;2005-04-14
Andrew Gold;1951-08-02;2011-06-03
Andrew Hilaire;1899-02-01;1941-08-03
Andrew Hill;1931-06-30;2007-04-20
Andrew Jenkins;1895-11-26;1957-04-25
Andrew MacNaughtan;1964-02-25;2012-01-25
Andrew McKinley;None;1996-01-11
Andrew McMillan (writer);1957-12-29;2012-01-28
Andrew Morgan (musician);1900-03-13;1972-09-19
Andrew Odom;1936-12-15;1991-12-23
Andrew Porter (music critic);1928-08-26;2015-04-03
Andrew Pryce Jackman;None;2003-08-16
Andrew Tibbs;1929-02-02;1991-05-05
Andrew Wood (singer);1966-01-08;1990-03-19
Andrey Labinsky;1871-08-20;1941-08-08
Andriy Kuzmenko;1968-08-17;2015-02-02
Andrzej Hławiczka;1866-05-03;1914-07-13
Andrzej Koszewski;1922-07-26;2015-02-17
Andrzej Kurylewicz;1932-10-24;2007-04-12
Andrzej Przybielski;1944-08-09;2011-02-09
Andrzej Zaucha (singer);1949-01-12;1991-10-10
André Baugé;1893-01-04;1966-05-25
André Bloch (composer);1873-01-14;1960-08-07
André Boerstra;1924-12-11;2001-08-01
André Danican Philidor the elder;None;1730-08-11
André Filho;1906-03-21;1974-07-02
André Fleury (organist);1903-07-25;1995-08-06
André Hazes;1951-06-30;2004-09-23
André Hekking;1866-07-20;1925-12-14
André Hodeir;1921-01-22;2011-11-01
André Marchal;1894-02-06;1980-08-27
André Navarra;1911-10-13;1988-07-31
André Pirro;1869-02-12;1943-11-11
André Prévost (composer);1934-07-30;2001-01-27
Andrés Barbero;1877-07-28;1951-02-14
Andrés Marín;1843-02-04;1896-07-27
Andrés Segovia;1893-02-21;1987-06-02
Andrés de Segurola;1874-03-27;1953-01-23
Andy Blakeney;1898-06-10;1992-02-12
Andy Chapin;1951-02-07;1985-12-31
Andy DeMize;1983-03-11;2009-01-11
Andy Fraser;1952-07-03;2015-03-16
Andy Gibb;1958-03-05;1988-03-10
Andy Gibson;1913-11-06;1961-02-10
Andy Hallett;1975-08-04;2009-03-29
Andy Hughes;1965-11-11;2009-06-12
Andy Hummel;1951-01-26;2010-07-19
Andy Iona;1902-01-01;1966-11-09
Andy Johns;1950-05-20;2013-04-07
Andy Kirk (musician);1898-05-28;1992-12-11
Andy Kulberg;1944-04-30;2002-01-28
Andy Lewis (bassist);1966-06-16;2000-02-12
Andy McGann;None;2004-07-13
Andy Palacio;1960-12-02;2008-01-19
Andy Razaf;1895-12-16;1973-02-03
Andy Russell (singer);1919-09-16;1992-04-16
Andy Sannella;1900-03-11;1962-12-10
Andy Simpkins;1932-04-29;1999-06-02
Andy Stewart (musician);1933-12-30;1993-10-11
Andy Tielman;1936-05-30;2011-11-10
Andy White (drummer);1930-07-27;2015-11-09
Andy Williams;1927-12-03;2012-09-25
Andy de Jarlis;1914-09-29;1975-09-18
Ang It-hong;1927-10-30;2010-02-24
Angel Diaz;['1929-04-25', '1977-07-28'];1998-12-11
Angel Jordanov Kapsov;1978-03-07;2014-10-31
Angela Moldovan;1927-09-19;2013-10-13
Angela Morley;1924-03-10;2009-01-14
Angelo Badà;1876-05-27;1941-03-23
Angelo Ephrikian;1913-10-20;1982-10-30
Angelo Francesco Lavagnino;1909-02-22;1987-08-21
Angelo Maria Amorevoli;1716-09-16;1798-11-15
Angharad Rees;1944-07-16;2012-07-21
Angiolina Bosio;1830-08-22;1859-04-12
Angus MacLise;1938-03-04;1979-06-21
Angèle Arsenault;1943-10-01;2014-02-25
Angélico Vieira;1982-12-31;2011-06-28
Anibal Lovera;1926-01-26;1994-01-23
Aniceto Molina;1939-04-17;2015-03-30
Aniceto Ortega;1825-04-17;1875-11-17
