label;genre
¡All-Time Quarterback!;['Indie rock', 'Alternative rock', 'Lo-fi music']
Éabha McMahon;Celtic music
Đan Trường;['Folk music', 'Pop music', 'Dance music']
Đani;['Turbo-folk', 'Music of Serbia']
Šaban Bajramović;['Blues', 'Jazz', 'Romani music']
Šako Polumenta;['Folk music', 'Pop-folk']
Šarlote Lēnmane;['Europop', 'Electropop', 'Dance-pop']
Žanil Tataj - Žak;['Heavy metal music', 'Pop music', 'Rock music', 'Hard rock', 'Classical music']
Žarko Jovanović;Romani music
A*M*E;['Pop music', 'Dance-pop', 'Hip hop soul', 'Contemporary R&B', 'Electronic dance music']
A+ (rapper);Hip hop music
A-L-X;Electropop
A-Lee;['Pop music', 'Electropop', 'Dance-pop', 'Hip hop music']
A-Lin;['Pop music', 'Rock music', 'Rhythm and blues', 'Mandopop']
A-Love;Hip hop music
A-Plus (rapper);Hip hop music
A-Trak;['Hip hop music', 'Electro house']
A-do;Mandopop
A-fu;['Indie pop', 'Mandopop', 'Contemporary R&B']
A-mei;['Rock music', 'Pop rock', 'Mandopop', 'Contemporary R&B']
A.B. Quintanilla;['Reggae', 'Rhythm and blues', 'Tejano music', 'Cumbia', 'Latin pop']
A.C. Reed;['Chicago blues', 'Soul blues']
A.D.O.R.;Hip hop music
A.J. Crew;Hip hop music
A.L.T.;Latin hip hop
A.Y. (musician);['Bongo Flava', 'Hip hop music']
A. A. Bondy;Folk music
A. B. Crentsil;Highlife
A. B. Raj;Feature film
A. B. Spellman;['Poetry', 'Music criticism']
A. C. Newman;['Indie rock', 'Power pop']
A. G. Cook;['Pop music', 'Electronic music', 'Dance music']
A. J. Ghent;['Blues', 'Funk', 'Soul music', 'Gospel music', 'Jam band', 'Sacred Steel (musical tradition)']
A. J. Masters;Country music
A. J. McLean;['Pop rock', 'Contemporary R&B']
A. J. Mogis;Indie rock
A. J. Pero;Heavy metal music
A. K. C. Natarajan;Carnatic music
A. K. Salim;Jazz
A. L. Lloyd;Folk music
A. L. Raghavan;['Carnatic music', 'Hindustani classical music', 'Playback singer']
A. M. Rajah;Film score
A. Nayyar;Playback singer
A. P. Carter;['Country music', 'Folk music', 'Gospel music']
A. Rafiq;Dangdut
A. V. Anand;Carnatic music
Amina Annabi;Pop music
Amina Claudine Myers;['Gospel music', 'Jazz']
Amina Figarova;['Funk', 'Rhythm and blues', 'Jazz fusion', 'Jazz', 'Musical theatre']
Aminata Savadogo;['Funk', 'Pop music', 'Soul music', 'Contemporary R&B', 'Electronic music']
Amine (singer);Rhythm and blues
Amir Abbas Zare;Persian traditional music
Amir Amor;['Pop music', 'Soul music', 'Alternative rock', 'Hip hop music', 'Electronic music', 'Dance music']
Amir Derakh;['Heavy metal music', 'Hard rock', 'Alternative rock', 'Glam metal']
Amir El-Falaki;Pop music
Amir Haddad;Pop music
