artist_id;genre
1767;Folk
23548;Metal
17822;Latino
19565;Pop
24941;Black Metal
1988;Progressive
43032;Pop-Rock
648;Retro
19441;Latino
13687;Western
42331;K-Pop
5630;Indie
40571;Lounge
11023;J-Rock
5242;Western
19825;Hard Rock
48831;Unplugged
23087;J-Rock
26338;Pop-Rock
10563;Jazz
30707;Trap
27322;K-Pop
24422;Retro
37924;Lounge
37393;Pop
48946;Ambient
13413;Rap
24452;Lounge
25468;Heavy Metal
42819;Pop
31148;Latino
9232;Dance
41981;Retro
40999;Alternative
18124;Death Metal
9199;Trap
35347;Death Metal
18716;Pop
25153;Heavy Metal
29469;Live
15326;K-Pop
38798;Blues
112;Compilation
18691;Gospel
5997;Metal
9610;Ambient
27676;Country
25344;Metal
5436;Jazz
49539;Black Metal
28263;Pop
3664;Pop-Rock
19380;Deep House
37637;Indie
14282;Black Metal
27216;Blues
15372;Ambient
4412;Hard Rock
11235;Pop
7355;Lounge
45552;Pop
21413;Trap
15112;Lounge
22284;Pop
14327;Blues
21382;Brit-Pop
13739;Indie
29614;Parody
33675;Heavy Metal
13353;Parody
17330;Heavy Metal
31345;J-Rock
20402;Western
44235;Hard Rock
3684;J-Rock
35118;Deep House
49879;Compilation
36893;Indie
33741;Lounge
14249;Western
9467;Parody
27840;Pop
857;Techno
45676;Progressive
11168;Rock
31552;Gospel
9907;Indie
49893;Latino
46844;Techno
45769;Pop-Rock
9300;Punk
4011;Punk
42712;Indie
40914;Techno
17653;Jazz
44142;Death Metal
33658;Indie
23007;Punk
42847;Gospel
43510;Rap
40174;Rap
2575;Lounge
22206;Boy Band
33063;Dance
16009;Indie
3278;Black Metal
17456;Rap
29025;Pop
12290;Trap
43132;Country
16312;Hard Rock
5065;Jazz
18705;Dance
5189;Black Metal
23306;Rock
33874;Blues
18419;K-Pop
41858;Rap
31337;Dance
3452;Brit-Pop
23960;Latino
976;Black Metal
34821;Pop
12845;Rap
25910;Punk
3632;Deep House
24119;Dance
1700;Indietronica
25047;Western
3890;Dance
49012;Latino
49068;Rock
35870;Lounge
42800;Black Metal
34137;Boy Band
22146;Indie
33604;Pop
16273;Indietronica
26857;Dance
15845;Compilation
41503;Rock
11597;Parody
11752;Punk
46391;Latino
36241;Deep House
36472;Rap
6588;Rock
22974;Latino
30876;Metal
15660;K-Pop
21709;Rock
7778;Indie
31346;Latino
2855;Holy Metal
21566;Brit-Pop
14284;Metal
30677;Dance
47561;Gospel
6960;Indie
2594;Rap
21015;Dance
29020;K-Pop
42602;Rock
37268;Indie
30054;Lounge
35353;Western
9876;Punk
22174;Brit-Pop
15242;Deep House
42106;Ambient
1398;Indie
29084;Indie
20465;Metal
43705;Jazz
1391;Jazz
39638;Indie
42894;Blues
35218;Pop
34318;Punk
31823;Indie
47336;Death Metal
12823;Ambient
30661;Heavy Metal
27641;Gospel
12696;Rock
22131;Rap
46950;Punk
28142;Indie
36617;Pop
9130;Rap
15017;Blues
25844;Compilation
44213;Death Metal
23310;Indie
41943;Pop
36657;Rap
33600;Latino
49602;Indie
17470;Gospel
25008;Live
15457;Indie
615;Blues
29494;Techno
33358;Latino
37424;Compilation
40223;Pop
45181;Indie
37637;Rap
49013;Brit-Pop
48034;Rap
42704;Dance
691;Death Metal
43378;Dance
21876;Trap
3032;Unplugged
3167;Live
6053;Rock
9196;Latino
3068;Heavy Metal
47153;Hard Rock
7795;Rock
31286;Western
24128;Holy Metal
35386;Indie
45603;Heavy Metal
45829;Rap
35297;Parody
37562;Pop
42537;Compilation
31067;Unplugged
42695;Pop
42866;Techno
5182;Latino
16888;Indie
35918;Rap
16666;Heavy Metal
45569;Pop
662;Rock
12448;Techno
41759;Pop
5269;Hard Rock
49573;Retro
21909;Blues
30597;Ambient
9745;Indie
22711;Rock
46425;Folk
11234;Pop
13902;Techno
31727;Punk
12574;Dance
26407;Heavy Metal
20169;Pop
10879;Techno
211;J-Rock
23811;Boy Band
32391;Indie
25209;Metal
11770;Punk
3141;Progressive
32930;Pop
11913;Trap
48301;Country
23237;Indie
28740;Hard Rock
44877;Holy Metal
43359;Dance
21407;J-Rock
11262;Metal
2674;Boy Band
10091;Death Metal
5988;Latino
16121;Lounge
2993;Indie
26815;Indietronica
8431;Latino
15339;Indie
37729;Pop-Rock
5734;Progressive
9461;Dance
32240;Brit-Pop
19453;Boy Band
35779;Lounge
26838;Dance
19596;Rock
3800;Electro-Pop
18457;Pop-Rock
1643;Electro-Pop
681;Punk
22993;Dance
30526;K-Pop
6954;Pop-Rock
2918;Western
19780;Dance
17511;Progressive
37152;Live
9867;Jazz
12406;Hard Rock
23563;Unplugged
19601;Indie
26394;Alternative
17418;Parody
30584;Black Metal
25902;Brit-Pop
16754;Gospel
36496;Pop
4883;Folk
36635;Rap
16511;Brit-Pop
12718;Pop-Rock
8106;Parody
42034;Latino
12232;Rock
32754;Holy Metal
11945;Jazz
23215;Ambient
41220;Indie
19827;Rock
43767;J-Rock
25070;J-Rock
31156;Indie
6045;Compilation
44115;Indie
16076;Pop-Rock
13778;Parody
7989;Live
36130;Electro-Pop
31164;Western
20941;K-Pop
9688;Heavy Metal
2657;Hard Rock
41726;Dance
29426;Punk
37245;Indie
26114;Lounge
32135;Indie
29119;Metal
34180;Rap
16352;Deep House
19411;Rap
47549;Jazz
44916;Black Metal
23858;Retro
34534;Rap
25322;Live
23858;Punk
39724;Retro
28552;Electro-Pop
17027;Rap
35355;Death Metal
9985;Black Metal
2991;Rap
24417;Boy Band
44932;Latino
48785;Indietronica
20963;Rap
19824;Rap
24936;Indie
42168;Rock
18861;Gospel
12040;Holy Metal
22233;Hard Rock
36842;Rock
21076;Indie
39878;Electro-Pop
37187;Dance
3377;Blues
19213;Hard Rock
37421;Unplugged
23344;Dance
23850;Punk
38637;Folk
38963;Death Metal
26038;Trap
27743;Country
18752;Punk
1500;Retro
11855;Indie
47709;J-Rock
34843;Indietronica
37429;Trap
26196;Electro-Pop
19238;Folk
33167;Techno
31645;Parody
16022;Alternative
1578;Hard Rock
25836;Indie
32086;Metal
454;Rock
30578;Pop
30461;Rap
34543;Heavy Metal
33748;Alternative
2206;Alternative
2009;Western
6082;Folk
41932;Indie
4205;K-Pop
21041;Unplugged
42408;Hard Rock
30100;Latino
15625;Live
5438;Death Metal
1022;Ambient
9427;Heavy Metal
27163;Pop
26342;Retro
33903;Gospel
48170;Electro-Pop
41068;Death Metal
1183;Punk
38066;J-Rock
29290;Trap
10875;Deep House
41576;Pop
37455;Retro
9254;Alternative
4450;Metal
24662;Unplugged
9998;Rock
46263;Hard Rock
920;Pop
39051;Metal
18718;Rock
10248;Indietronica
33312;Indietronica
11650;Rap
23057;Dance
1447;Western
45795;Indie
25384;Progressive
38074;Rock
5657;Retro
19193;Pop-Rock
34097;Indie
17552;Heavy Metal
45172;Rap
41609;J-Rock
31428;J-Rock
29493;Rap
3543;Progressive
6269;Pop-Rock
37105;Country
48494;Pop
43215;Punk
6441;Compilation
23366;Black Metal
49441;Gospel
26674;Latino
3592;Pop-Rock
32155;Pop
8136;Trap
12243;Techno
35402;Pop-Rock
12067;Pop
24585;Alternative
38676;Holy Metal
15725;Rock
9121;Indie
8597;Indietronica
1644;Rap
36887;Blues
2678;Boy Band
38383;Pop-Rock
47187;Brit-Pop
15769;Rap
32970;Rock
22685;Death Metal
33325;Indietronica
34918;Rap
46773;Latino
45604;Rap
17761;Deep House
16839;Hard Rock
21508;Country
7145;Indie
45024;Pop
8769;Rock
5736;Alternative
42314;Compilation
49746;Brit-Pop
32438;Pop
34200;Pop
21444;Rap
41227;Unplugged
44099;Gospel
22920;Dance
34341;Punk
26342;Pop
3984;Pop-Rock
8025;Gospel
1339;Lounge
24829;Death Metal
26596;Folk
9109;Heavy Metal
28786;Techno
5455;Dance
35529;Holy Metal
45232;K-Pop
41071;Metal
31140;Dance
40680;Hard Rock
4811;Punk
48303;Indie
43539;Indie
24775;Folk
34560;Rap
1728;Latino
3096;Retro
25450;Country
11772;Heavy Metal
30222;Dance
30726;Punk
43578;Holy Metal
22273;Alternative
15002;Latino
49973;Alternative
36254;Indie
31272;Rap
4435;Punk
45497;Rap
45239;Electro-Pop
35817;Metal
3778;Alternative
30428;Pop
19643;J-Rock
4742;Dance
36901;Black Metal
36889;Compilation
48121;Hard Rock
16725;Punk
14422;Pop-Rock
34543;Ambient
18963;Pop
8214;Indie
32029;K-Pop
19506;Trap
17719;Indie
34668;Dance
36834;Lounge
23543;Country
5096;Indietronica
24371;Heavy Metal
39371;Dance
28947;Techno
35076;Dance
44093;Folk
21576;Pop
24825;Indie
19498;Alternative
38159;Brit-Pop
15779;Indietronica
47426;Brit-Pop
8095;Country
37588;Gospel
33318;Pop
48653;Progressive
48619;Electro-Pop
15881;Pop-Rock
13856;Live
7566;Lounge
14908;Heavy Metal
32818;Retro
3411;Progressive
46181;Blues
40201;J-Rock
14313;Gospel
46302;Black Metal
16270;Black Metal
22799;Brit-Pop
14795;Indie
21138;Death Metal
13123;Metal
5557;Lounge
35232;Western
18380;Pop-Rock
7919;Boy Band
30296;Heavy Metal
30757;Brit-Pop
36791;Pop-Rock
28682;Black Metal
19761;Indie
49436;Alternative
28406;Dance
18332;Deep House
18285;Country
25580;K-Pop
39477;Punk
21265;Pop
15428;Techno
42921;Rock
6376;Dance
25302;Compilation
37201;Latino
14423;Blues
6127;Parody
26782;Compilation
44983;Holy Metal
19307;Indie
42119;Pop
1720;Lounge
34382;Jazz
21952;Parody
896;Pop
18826;Rock
32701;Latino
555;Indie
5449;Latino
2386;Country
29642;Boy Band
26909;Pop
7000;Deep House
18755;Compilation
39142;Boy Band
34664;Metal
15690;Pop
37990;Rap
20254;Rock
11399;Indie
48085;Metal
38023;Latino
33614;Electro-Pop
49196;Rap
34605;Boy Band
8628;Black Metal
29458;Trap
17606;Indie
30585;Rap
41450;Progressive
12249;Lounge
22998;Unplugged
40138;Dance
37311;Indie
34376;Indie
287;Pop-Rock
49171;Country
12930;Indie
12134;Indie
20980;Gospel
2463;Brit-Pop
25727;Black Metal
5271;Compilation
31211;Compilation
42336;Holy Metal
62;K-Pop
46955;Pop-Rock
36368;Western
28046;Electro-Pop
18930;Parody
26688;J-Rock
48964;Indie
49197;Holy Metal
12314;Alternative
877;Pop
18562;Trap
43369;Techno
7945;Punk
34853;Brit-Pop
8112;Electro-Pop
10997;Heavy Metal
3355;Ambient
22744;Pop-Rock
14181;Dance
655;Indie
695;Rap
48049;Electro-Pop
6945;Deep House
26290;Pop
43924;Rap
44572;Western
13484;Rap
29742;Pop
1414;Retro
13032;Retro
15862;Indietronica
37665;Latino
13063;Retro
12596;Hard Rock
15278;Progressive
16700;Pop
3438;Indie
31460;Holy Metal
22827;Gospel
49246;Pop-Rock
20170;Holy Metal
38587;Alternative
35927;Punk
28730;Death Metal
44345;Indie
21118;Indie
48641;Parody
7050;Jazz
7401;Indietronica
21884;Indie
49196;Blues
22612;Pop
14555;Latino
40936;Pop
28463;K-Pop
9403;Pop
8172;Indietronica
29068;Rock
18012;Death Metal
34853;Retro
2581;Indie
49139;Hard Rock
35265;Pop
48481;Brit-Pop
1735;Indietronica
48652;Boy Band
24469;Country
40640;Punk
39199;J-Rock
2733;Pop-Rock
33286;Dance
14586;Unplugged
13702;Indie
4157;Lounge
18452;Trap
6301;Deep House
44838;Death Metal
32613;Pop
13281;Techno
8623;Rap
29268;Compilation
6789;Heavy Metal
12690;Rap
45075;Indie
9923;Rap
2337;Punk
11781;Pop-Rock
49677;Indie
38874;Rap
34017;Death Metal
47328;Rock
8818;Indie
49965;Folk
15164;Pop
26743;Lounge
42722;K-Pop
27199;Indie
15750;Pop
3766;Country
23990;Black Metal
6973;Trap
44993;Gospel
5818;Indie
44839;Trap
21776;Pop
24535;Dance
12163;Dance
12893;Dance
41198;Indie
15257;Indie
27943;Pop
5515;Rap
5502;Indie
28102;Alternative
22325;Punk
31400;Indietronica
47527;Rock
6082;Indie
17104;Pop
39458;Rap
23095;Dance
49062;Unplugged
22997;Progressive
41119;Unplugged
44810;Jazz
7565;Rock
39879;Holy Metal
49246;Alternative
42634;Dance
25509;Rap
24336;Techno
28197;K-Pop
21471;Death Metal
44171;Boy Band
17644;Dance
28167;Jazz
13229;Heavy Metal
32428;Progressive
8006;Dance
41664;Hard Rock
26422;Indie
24302;Rock
20293;Death Metal
9328;Parody
32812;Folk
4300;Rock
27800;Indie
1523;Punk
5945;J-Rock
35335;Pop
33060;Retro
46361;Latino
4391;Pop-Rock
7887;Pop-Rock
3529;Hard Rock
17980;Black Metal
34147;Country
36582;Folk
6218;Pop
9170;Holy Metal
37955;Black Metal
8512;Pop
27600;Latino
10835;Pop
31;Rap
12523;Boy Band
30424;Indie
37660;Indie
86;Indie
32842;Death Metal
5223;Rap
34427;Gospel
33288;Brit-Pop
17018;Indie
1853;J-Rock
11358;Progressive
24514;Blues
9337;Latino
840;Western
39141;Retro
43224;Live
8943;Gospel
26899;Pop
5506;Latino
18307;Rap
24319;Progressive
40591;Alternative
14985;Pop-Rock
31860;Brit-Pop
21956;Black Metal
42032;Rap
41032;Latino
544;Pop
8909;Retro
9122;Live
23539;Heavy Metal
5575;Hard Rock
26885;Indietronica
31437;Latino
26953;Rock
22507;Dance
39795;Unplugged
37366;Western
39785;Folk
45668;Deep House
32067;Pop
42175;Indie
37094;Heavy Metal
7954;Compilation
1243;Pop-Rock
16188;Indie
37559;Holy Metal
36284;Pop
48276;Indie
19888;Hard Rock
41815;Death Metal
44355;Alternative
7093;Indie
30601;Pop
38075;Rap
10086;Deep House
31230;Compilation
8814;Jazz
3542;Gospel
2083;Latino
7893;Pop
8660;Indie
29355;Western
34987;Pop
36741;Alternative
6826;Techno
49709;Compilation
2116;Rock
47867;Punk
19537;Alternative
38852;Folk
31418;Electro-Pop
16679;Gospel
30578;Boy Band
4030;K-Pop
27388;Metal
25633;Dance
17328;Indietronica
25140;Metal
44566;Alternative
37514;Pop-Rock
37257;Trap
32346;Brit-Pop
16950;Rap
27059;Brit-Pop
48849;Rap
3420;Rock
11977;Gospel
33308;Indietronica
7984;Lounge
40633;Indietronica
11287;Jazz
35995;Progressive
11002;Alternative
23895;Jazz
25145;Blues
7461;Hard Rock
16645;Pop
3636;Folk
20534;Techno
12608;Death Metal
8589;Indie
6899;Deep House
739;Indie
38015;Gospel
34560;K-Pop
27505;Hard Rock
1062;Western
6695;Unplugged
2337;Rock
32310;Pop-Rock
28748;Jazz
27324;Black Metal
12914;Compilation
37083;Pop
4883;Brit-Pop
24209;Western
17793;Blues
33749;Heavy Metal
33841;Pop-Rock
6953;Pop-Rock
2710;Rock
37858;Gospel
13417;Latino
41802;Rap
3027;Compilation
24668;Compilation
46262;Boy Band
4336;Rap
3438;Pop
40517;Indie
7320;K-Pop
43753;Pop
4142;Parody
33828;Blues
26104;J-Rock
48173;Latino
11115;Compilation
37979;Country
21531;Gospel
48603;J-Rock
12272;Deep House
10710;Brit-Pop
23182;Pop
28097;Alternative
21124;Rap
19520;Rock
12858;Gospel
40088;Rap
27661;Deep House
30397;Hard Rock
37682;Compilation
40891;Indie
46523;Hard Rock
35787;Heavy Metal
22313;J-Rock
33239;Indietronica
28936;Gospel
35265;Dance
36010;Pop
10312;Rap
17068;Metal
4445;Dance
44156;Live
34515;Indie
1156;Rock
7136;Trap
16044;Rock
38744;Western
26693;Indietronica
36034;Metal
25911;Latino
35292;Electro-Pop
38441;Progressive
38949;Rap
27684;Indie
28161;Metal
15516;Heavy Metal
6911;Jazz
18146;Pop-Rock
17984;Pop
36156;Dance
2485;Punk
10643;Dance
41735;Pop
44418;Pop
28077;Pop
37051;Pop
36036;Electro-Pop
34538;Black Metal
15275;Dance
34391;Pop
10295;Metal
16131;Compilation
12322;Latino
33997;Boy Band
3236;Indie
38523;Techno
47596;Latino
14210;Live
39269;Compilation
23066;Progressive
4145;Gospel
33096;Electro-Pop
48397;Progressive
14946;Black Metal
36782;Parody
10933;K-Pop
22957;Gospel
20129;Rock
17042;Boy Band
7106;Indie
25297;Country
8605;Folk
46589;Dance
9768;Deep House
8820;Pop
26215;Lounge
13289;Retro
14102;K-Pop
3305;Black Metal
24238;Pop-Rock
4431;Boy Band
29475;Rock
18236;Parody
2392;Jazz
19279;Pop
43753;Punk
44672;Parody
1334;Indie
41142;Pop
20902;J-Rock
18992;Jazz
35072;Techno
18828;Pop
14172;Parody
6673;Dance
4249;Indie
4043;Blues
25177;Jazz
11048;Rap
21570;Pop
9931;Pop
47135;Black Metal
31587;Lounge
17380;Western
26723;Pop
31601;Pop-Rock
44906;K-Pop
21630;Live
21835;Rap
17181;Deep House
11560;Gospel
11539;Progressive
42338;Punk
15746;Live
12685;Latino
24435;K-Pop
42960;Brit-Pop
28001;Pop
33257;Gospel
49250;Indietronica
19794;Punk
40092;Parody
33878;Alternative
49226;Punk
16834;K-Pop
22624;Western
20379;Pop
32778;Pop
2177;Parody
46602;Pop
26777;Ambient
31498;Pop
41030;Indietronica
43404;Progressive
12744;Parody
44778;Indietronica
20074;Punk
24048;Country
8770;Pop
30160;Dance
22216;Brit-Pop
19829;Trap
16410;Rock
34609;Live
9480;Jazz
30740;K-Pop
23475;Indietronica
7962;Pop
47535;Electro-Pop
19265;Holy Metal
