label;genre;cause of death
Augustine Joseph;['irish classical'];Myocardial infarction
Al Jolson;['big band', 'tin pan alley'];Myocardial infarction
Billy Cotton;['british dance band'];Stroke
Bob Hope;['vintage hollywood'];Pneumonia
Bob Marley;['reggae', 'roots reggae'];Melanoma
Clarence Wijewardena;['classic sinhala pop', 'sinhala pop'];Cirrhosis
Cliff Edwards;['movie tunes'];['Cardiac arrest', 'Arteriosclerosis']
Clive Dunn;['novelty'];Complication (medicine)
Connie Haines;['deep motown'];Myasthenia gravis
Divine;['russelater'];Cardiomegaly
Dorothy Dandridge;['harlem renaissance'];['Embolism', 'Drug overdose']
Freddie Mercury;['glam rock'];Pneumonia
Gary McFarland;['jazz vibraphone'];Methadone
Hamilton Camp;['american folk revival'];Myocardial infarction
Joe E. Lewis;['blues rock', 'deep new americana', 'funk', 'modern blues', 'modern blues rock', 'modern funk', 'punk blues'];Myocardial infarction
Joe Hill;['memphis blues', 'one-person band'];Execution by firing squad
Johnny Cash;['arkansas country', 'outlaw country'];Diabetes mellitus
José Carlos Schwarz;['gumbe'];Aeroflot Flight 331
June Allyson;['vintage hollywood'];['Respiratory failure', 'Bronchitis']
J. Pat O'Malley;['disney', 'movie tunes'];Cardiovascular disease
Jack Lawrence;['tin pan alley'];Falling (accident)
James Brown;['funk', 'motown', 'soul'];Pneumonia
Katalin Karády;['classic hungarian pop'];Death by natural causes
Lawrence Welk;['easy listening', 'lounge', 'polka'];Pneumonia
Leonard Nimoy;['comic', 'outsider'];Chronic obstructive pulmonary disease
Libertad Lamarque;['tango', 'tango cancion'];Myocardial infarction
Manolo Escobar;['copla', 'musica aragonesa', 'pop flamenco', 'rumba', 'spanish pop', 'villancicos'];Colorectal cancer
Marc Aryan;['classic turkish pop', 'turkish psych'];Cardiac arrest
Peggy Lee;['adult standards', 'brill building pop', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz'];Diabetes mellitus
Tony Jay;['disney', 'movie tunes'];Endoscopy
Vanity;['synthwave'];Renal failure
Whitney Houston;['dance pop', 'pop', 'urban contemporary'];Drowning
