label;genre
Giuseppe Aldrovandini;['italian baroque']
Mohammed El-Bakkar;[]
Bill Millin;[]
Louis Silvers;[]
Roza Eskenazi;['rebetiko']
Mickey Lee Lane;[]
Johannes Driessler;['austro-german modernism']
Raimondo Boucheron;[]
Hilde Heltberg;['classic norwegian pop']
Don Caneva;[]
Johann Georg Ahle;[]
Elisabeth Welch;[]
Marguerite Béclard d'Harcourt;[]
Chick Bullock;[]
Eddie Johnson;[]
Guido Alberto Fano;[]
Hasrat Jaipuri;[]
Guy Carawan;[]
Joe Lane;[]
J.-J. Gagnier;[]
Peter Lange-Müller;['danish classical']
Giannina Russ;['italian soprano', 'vintage classical singing']
Koos du Plessis;['african rock', 'afrikaans']
John Mitchum;[]
Florence Austral;[]
Conrado del Campo;['classical']
David Karp;[]
Irwin Heilner;[]
Harry South;[]
Roger A. Graham;[]
Édouard Mignan;[]
Nic Potter;[]
George F. Houston;[]
Ruth Roberts;[]
Cloe Elmo;['italian mezzo-soprano']
Ian Hamer;[]
Cynthia Layne;[]
Radha Jayalakshmi;['carnatic', 'carnatic vocal', 'indian classical']
Anna Nielsen;[]
Carl Barriteau;[]
Reinald Werrenrath;['vaudeville']
Donald Kachamba;['malawian pop']
June Valli;['deep adult standards']
Lionel Long;['bush ballad']
Ada Falcón;['tango', 'tango cancion', 'vintage tango']
Carter Jefferson;[]
Dolores Duran;['samba', 'velha guarda']
Teddy Roy;[]
Andrea Guarneri;[]
Peter Kiesewetter;['german contemporary classical']
Bob Randall;[]
Merle Taylor;[]
Kate Lee;['korean classical performance', 'korean classical piano']
Charles Remue;['jazz clarinet']
Sergio Vega;['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']
Shiva Shankar;[]
Noro Morales;['latin jazz', 'mambo']
Boots Randolph;['nashville sound']
R. D. Burman;['chutney', 'classic bollywood', 'filmi', 'ghazal', 'modern bollywood', 'sufi']
Sue Draheim;['celtic rock']
Cyril Blake;[]
Samuel Castriota;[]
Rudy Collins;[]
John Modinos;[]
Horace Clarence Boyer;[]
Sjonni Brink;[]
Sammy Fain;['tin pan alley']
Fanny Davies;[]
Cyd Charisse;[]
Pierre Vachon;[]
Shelton Brooks;['tin pan alley']
James Freud;[]
William Ludwig;['classical bassoon']
Clara Ward;['gospel singers', 'praise']
Line Monty;['algerian folk']
Michael Cohen;['kirtan']
Howard New;['soundtrack']
Arun Thapa;['classic nepali pop', 'nepali pop']
Fritz Pauer;[]
Ronnie Chamberlain;[]
Albert Fuller;['harpsichord']
Arnold Walter;['vintage radio show']
Hisarlı Ahmet;['baglama', 'turkish folk']
Eduardo Arolas;[]
Viksta-Lasse;['swedish fiddle']
Tom King;['chicago house', 'deep house', 'disco house', 'garage house', 'house', 'vocal house']
Ljerko Spiller;[]
Ervin Drake;['tin pan alley']
John Lomax;[]
Bobby Worth;[]
Mike Bernard;['ragtime']
Jim Jones;['gangster rap', 'harlem hip hop', 'hip hop', 'pop rap', 'rap', 'trap']
Pance Pondaag;['classic indo pop', 'dangdut']
Benito de Jesús;[]
Glen Sherley;['oklahoma country']
Viro the Virus;['philly rap', 'underground rap']
Kenny Roberts;['classic australian country', 'yodeling']
Tito Torbellino;['corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']
Jimmy Brown;['chill r&b']
Robert Long;['ballet class']
Edna Gallmon Cooke;['gospel singers', 'praise']
Zim Ngqawana;['south african jazz']
Lady Jaye Breyer P-Orridge;[]
Venanzio Rauzzini;[]
Louis Nelson;['jazz trombone', 'new orleans jazz']
Vilhelm Herold;[]
Benny Morton;['jazz trombone']
Emilia Gubitosi;[]
Ian Powrie;['scottish fiddle', 'traditional scottish folk']
Alois Pernerstorfer;[]
Ursula Günther;[]
Charles Craig;[]
Isolina Carrillo;[]
Paul Taffanel;['french romanticism', 'late romantic era']
Paul Reade;[]
Désirée Artôt;[]
Donald Shanks;[]
Snakefinger;['experimental', 'zolo']
Stanley Gardner;[]
Ralph Butler;[]
Gerónimo Giménez;['operetta']
Farid Ali;[]
Jack Eric Williams;[]
Martial Singher;[]
Mimoun El Oujdi;['rai', 'rif']
David Thompson;[]
Edward Heath;[]
Bertice Reading;[]
Babe Stovall;['delta blues']
Bruce Cameron;[]
Kate Smith;['torch song']
Karol Stryja;[]
Lewis Redner;[]
Richard Tee;[]
Eddie Miller;['new orleans jazz']
Chittaranjan Deb;[]
Jyotirindranath Tagore;[]
Billy Bauer;['jazz guitar']
Mendi Rodan;[]
Jack Fallon;[]
Johann Christoph Altnickol;['galante era', 'german baroque']
Antonio Braga;[]
Aaron Schroeder;[]
Alfred Prinz;['classical clarinet']
Malcolm McEachern;['music hall']
Pierre Capdevielle;[]
John Sebastian;['folk', 'folk rock', 'traditional folk', 'yacht rock']
Jackie Cain;[]
Sylvia Stahlman;[]
Finis Tasby;[]
Lewis Hartsough;[]
Peggy Dell;[]
Riccardo Malipiero;[]
Hanne Haller;['classic schlager', 'schlager', 'volksmusik']
Hadley Caliman;[]
Abdul Latif;[]
Thomas Kurzhals;[]
Jorge de la Vega;[]
Ernie Newton;[]
Jerry Rivers;[]
Peter Callander;[]
Buddy Killen;[]
Ronald Shannon Jackson;[]
Eduard Toldrà;[]
Benjamin Jacob;[]
Timothy Wright;['contemporary gospel', 'gospel']
Steve Marcus;['jazz saxophone']
Jean Borthayre;[]
Mack Self;['arkansas country']
Karel Kalaš;[]
David Rose;['easy listening', 'space age pop']
Bob Howard;['vintage swing']
Richard Barth;['german romanticism']
Labh Janjua;['filmi', 'modern bollywood', 'sufi']
Gene Leis;[]
Peter Levinson;[]
Hermann Ritter;[]
Alan Tyson;[]
Rocío Jurado;['cancion melodica', 'copla']
Camille Decreus;['french romanticism']
Vinayakrao Patwardhan;['hindustani vocal', 'indian classical']
Floyd Dakil;[]
Ngọc Lan;['vietnamese pop']
Natasza Zylska;[]
Marcel Lang;[]
Benny Neyman;['carnaval limburg', 'classic belgian pop', 'dutch pop', 'levenslied', 'nederpop']
Gil Rodin;[]
Alan Barton;[]
George Wyle;[]
Big Nick Nicholas;[]
Pascual Contursi;[]
Kari Diesen;[]
T. Ranganathan;[]
T-Model Ford;['blues', 'punk blues', 'traditional blues']
Johnnie Johnston;[]
Jon Marks;[]
Jules Mazellier;[]
Jovdat Hajiyev;['caucasian classical']
Bobby Jaspar;['belgian jazz']
Giacomo Orefice;[]
Gustav Fonandern;[]
Richard Himber;[]
Leon Payne;['bakersfield sound', 'honky tonk']
Natalya Rozhdestvenskaya;[]
Samfree;['anime rock', 'vocaloid']
Andrea Basili;[]
Gilbert Vinter;['library music']
Isabel Bigley;[]
Anna Yesipova;[]
Johan Bartholdy;[]
Dieter Klöcker;['classical clarinet']
Little Miss Cornshucks;[]
Tom Clare;[]
John Lennon;['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']
Kurt Großkurth;[]
Jordan Christopher;[]
Stan Hasselgård;[]
Lucia Dlugoszewski;['prepared piano']
Malcolm Yelvington;['honky tonk', 'rockabilly', 'traditional rockabilly']
Marek Weber;['vintage schlager']
Carson Smith;[]
Ricardo da Force;[]
Clay Eager;[]
Carlo Francesco Pollarolo;['italian opera']
Yvonne Fair;['classic soul', 'motown']
Arthur Siegel;[]
John Tasker Howard;[]
Florence Easton;[]
Richard Anthony;['chanson', 'ye ye']
Felix Powell;[]
Corrado Lojacono;['vintage italian pop']
Carlo Donida;[]
Maria Tauberová;[]
Korla Awgust Kocor;[]
John Ashley;['antiviral pop', 'comic', 'otacore']
Giuseppe Mulè;[]
Robert Morrison Stults;[]
Reginald Spofforth;[]
Kelsey Jones;[]
Ole Andreas Lindeman;[]
Cesare Valletti;['classical tenor', 'italian tenor']
Joseíto Fernández;['musica tradicional cubana', 'son cubano clasico']
Fred Panopio;['classic opm', 'manila sound']
Errol Brown;[]
Helmut Brandt;[]
Walter Thomas;[]
Gina Cigna;['italian soprano']
Ernesto Tamayo;['classical guitar']
David Roitman;[]
Hugh Lawson;[]
Esther Réthy;[]
Bernard Vitet;[]
Said Rustamov;['caucasian classical']
Alexandre Dechet;[]
Christian Henrik Glass;[]
Noel Harrison;['classic uk pop']
Rick Rhodes;[]
Erling Kroner;['danish jazz', 'faroese jazz']
Kjell Roikjer;[]
Roy Chicago;['highlife']
Arthur Loesser;['historic piano performance']
Buzz Busby;['appalachian folk']
Ricky Allen;[]
System Tazvida;['sungura']
Joseph J. Daynes;[]
Detty Kurnia;[]
Guido Deiro;[]
Ivo Fabijan;[]
William Gardiner;[]
Frank Melrose;['barrelhouse piano', 'boogie-woogie']
Charles Hackett;['vintage classical singing']
Charlie Holmes;[]
Myriam Marbe;['romanian contemporary classical']
Norman Lumsden;[]
Marta Belen;[]
Tim Drummond;[]
Jacques Aubert;['baroque', 'french baroque']
Jon Weaving;[]
Eva Knardahl;['nordic classical piano']
Glenn Osser;[]
Enrico Polo;[]
Fiorenzo Carpi;['vintage italian soundtrack']
Lani McIntyre;[]
Mykola Kolessa;['ukrainian classical']
Gene Conners;['jazz trombone']
Alcide Pavageau;['jazz double bass']
Roberto Ciotti;['italian blues']
Will Atkinson;['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']
Bill Stegmeyer;[]
Dick Grove;[]
Juanito Valderrama;['cante flamenco', 'copla', 'flamenco', 'rumba']
Ronnie Cord;[]
Carlo Buti;['canzone napoletana', 'vintage italian pop']
Jerry Ricks;[]
Brian Brown;['nashville hip hop']
Driftin' Slim;[]
Javier Krahe;['cantautor', 'nueva cancion']
Dany Dauberson;['classic eurovision']
Georges Mathias;[]
Charlie Alexander;[]
Renato Cellini;[]
Ric Segreto;['classic opm', 'opm']
Waldemar Kmentt;['classical tenor']
Paul Kuhn;['classic schlager', 'vintage schlager']
Charlemagne;['kompa']
Piotr Janowski;[]
Robert Hazard;[]
Maurice Chevalier;['cabaret', 'vintage hollywood']
John Bishop;['british comedy']
Atareta Maxwell;[]
Gabor Carelli;[]
Pip Proud;[]
Bernard Gérard;[]
Jim Beck;[]
John Kirkpatrick;['british folk', 'traditional british folk']
Luther Vandross;['funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']
Jimmy Roselli;[]
Marko Rothmüller;[]
Johann Gottfried Eckard;[]
Bill Le Sage;['jazz vibraphone', 'library music']
Don Murray;[]
David Whitaker;[]
Vern Williams;[]
Zdeněk Košler;[]
Claude Blanchard;[]
Paul Callaway;[]
Ilva Ligabue;['italian soprano']
Charlie Hodge;[]
Bill Potts;[]
Richard Proulx;[]
Suzanne Haïk-Vantoura;[]
Mark Minkov;[]
Major Holley;['jazz double bass']
Aunt Molly Jackson;[]
Romain Pelletier;[]
Priscilla Bowman;[]
Avinash Vyas;[]
Sejr Volmer-Sørensen;[]
K. Frimpong;['afro psych', 'highlife']
Big Dee Irwin;[]
Mimi Benzell;[]
Daniel Gottlob Türk;[]
Cvetka Ahlin;[]
Ron Davies;[]
Vladimir Bobri;[]
George Elrick;['bothy ballad']
Domna Samiou;['greek folk']
Francesco Antonio Pistocchi;['italian baroque']
Jackson Kaujeua;[]
Otto Andersson;[]
Jo Estill;[]
Louis W. Ballard;[]
Norman Demuth;[]
Jagdish Prasad;['hindustani vocal', 'indian classical']
Sindo Garay;[]
Surendran Reddy;[]
Martin Slavin;['theme']
Pantelis Pantelidis;['greek pop']
Sidney Arodin;[]
Maria Capuana;['italian mezzo-soprano']
Smoky Babe;['louisiana blues']
Giuseppe Antonio Brescianello;['baroque', 'italian baroque']
Leo Reisman;[]
Kenneth Schermerhorn;[]
Carl Brandt;[]
Beatrice Krebs;[]
Wade Walton;[]
Guillaume Couture;[]
Kevin Hughes;[]
Eduard Erdmann;['austro-german modernism', 'historic piano performance']
Nick Stabulas;[]
