label;genre;cause of death
Amy Winehouse;['british soul', 'neo soul'];Alcohol intoxication
Ann Miller;['vintage hollywood'];Lung cancer
Ann Sothern;['vintage hollywood'];Heart failure
Annie Oakley;['okc indie'];Pernicious anemia
Antonio Aguilar;['mariachi', 'ranchera', 'regional mexican'];Pneumonia
Alice Faye;['torch song', 'vintage hollywood'];Stomach cancer
Allan Sherman;['comic'];Chronic obstructive pulmonary disease
Audrey Hepburn;['hollywood', 'vintage hollywood'];Appendix cancer
Ava Gardner;['vintage hollywood'];Pneumonia
Aaliyah;['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary'];Aviation accidents and incidents
Abe Vigoda;['noise rock'];Death by natural causes
Adriana Caselotti;['movie tunes'];Respiratory failure
Agnes Moorehead;['drama'];Uterine cancer
Al Jolson;['big band', 'tin pan alley'];Myocardial infarction
Barbara Ruick;['vintage hollywood'];Cerebral hemorrhage
Barbara Stanwyck;['drama'];['Heart failure', 'Chronic obstructive pulmonary disease']
Bebe Daniels;['torch song', 'vintage hollywood'];Cerebral hemorrhage
Bernard Herrmann;['classic soundtrack', 'soundtrack'];Cardiovascular disease
Beto Quintanilla;['corrido', 'deep regional mexican', 'norteno', 'nuevo regional mexicano', 'regional mexican'];Myocardial infarction
Bette Davis;['vintage hollywood'];Breast cancer
Betty Driver;['british dance band'];Pneumonia
Betty Grable;['vintage hollywood'];Lung cancer
Bill Thompson;['disney', 'movie tunes'];Septic shock
Bing Crosby;['adult standards', 'easy listening'];Myocardial infarction
Bob Clark;['jaw harp'];Traffic collision
Bob Hope;['vintage hollywood'];Pneumonia
Bobby Driscoll;['disney', 'movie tunes'];Myocardial infarction
Boris Berezovsky;['russian classical piano'];Open verdict
Boris Karloff;["children's music", 'drama'];['Pneumonia', 'Chronic obstructive pulmonary disease']
Brittany Murphy;['hollywood'];['Pneumonia', 'Anemia']
Bruce Adler;['movie tunes'];Liver cancer
Burl Ives;['adult standards', 'american folk revival'];Oral cancer
Chester Morris;['drama', 'vintage radio show'];Barbiturate overdose
Cilla Black;['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll'];Stroke
Clara Bow;['hamburg indie'];Myocardial infarction
Clara Schumann;['early romantic era', 'german romanticism'];Stroke
Clarence Nash;['movie tunes'];Leukemia
Clarence Wijewardena;['classic sinhala pop', 'sinhala pop'];Cirrhosis
Cliff Edwards;['movie tunes'];['Cardiac arrest', 'Arteriosclerosis']
Clifton Fadiman;['vintage radio show'];Pancreatic cancer
Clive Dunn;['novelty'];Complication (medicine)
Connie Haines;['deep motown'];Myasthenia gravis
Carmen Miranda;['samba', 'velha guarda'];Pre-eclampsia
Cassandra Harris;['garage house'];Ovarian cancer
Charles Bronson;['chicago hardcore', 'powerviolence', 'thrash core'];['Pneumonia', "Alzheimer's disease"]
Dave Gold;['library music', 'spytrack'];Myocardial infarction
David Bauer;['christian relaxative'];Myocardial infarction
David Bowie;['art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock'];Liver cancer
David Tomlinson;['disney', 'hollywood', 'movie tunes'];Stroke
Dean Martin;['adult standards', 'easy listening', 'lounge'];Respiratory failure
Dick Haymes;['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing'];Lung cancer
Dimebag Darrell;['southern metal'];Homicide
Dirch Passer;['classic danish pop', 'dansktop'];Myocardial infarction
Dixie Carter;['cabaret'];Endometrial cancer
Doc Holliday;['modern southern rock', 'southern rock'];Tuberculosis
Doris Duke;['deep southern soul', 'soul', 'southern soul'];Cardiac arrest
Dorothy Dandridge;['harlem renaissance'];['Embolism', 'Drug overdose']
Duncan Lamont;['library music', 'spytrack'];Myocardial infarction
Eddie Carroll;['british dance band'];Brain tumor
Eddie Parker;['northern soul'];Myocardial infarction
Edvard Grieg;['classical', 'late romantic era', 'norwegian classical'];Heart failure
Ella Fitzgerald;['adult standards', 'jazz blues', 'swing', 'vocal jazz'];Diabetes mellitus
Ernest Gold;['classic soundtrack'];Stroke
Eva Braun;['serbian alternative rock', 'yugoslav rock'];Cyanide poisoning
Frank Rosolino;['jazz brass', 'jazz trombone'];Suicide
Frank Zappa;['album rock', 'art rock', 'experimental', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo'];Prostate cancer
Freddie Mercury;['glam rock'];Pneumonia
Gary Cooper;['harpsichord'];Cancer
Gary McFarland;['jazz vibraphone'];Methadone
George Beverly Shea;['country gospel'];Stroke
George Butterworth;['british modern classical', 'early modern classical'];['Battle of the Somme', 'Sniper']
George Carlin;['comedy', 'comic'];Heart failure
Gerry Conlon;['irish dance'];Lung cancer
Gilda Radner;['comedienne'];Ovarian cancer
Glenn Frey;['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'new wave pop', 'soft rock'];['Rheumatoid arthritis', 'Pneumonia', 'Ulcerative colitis']
Gloria Swanson;['vintage hollywood'];Cardiovascular disease
Gregory Peck;['deep ragga'];Pneumonia
Guy Béart;['chanson'];Myocardial infarction
Guy Madison;['vintage radio show'];Chronic obstructive pulmonary disease
Howard Ashman;['movie tunes'];AIDS
Humphrey Bogart;['drama'];Esophageal cancer
Hurd Hatfield;['guidance'];Myocardial infarction
Henry Phillips;['geek rock'];Enteritis
Hal Smith;["children's story"];Myocardial infarction
Hamilton Camp;['american folk revival'];Myocardial infarction
Ilene Woods;['movie tunes'];Alzheimer's disease
Jim Jones;['gangster rap', 'harlem hip hop', 'hip hop', 'pop rap', 'rap', 'trap'];Suicide
Jimmy Durante;['adult standards', 'easy listening', 'lounge', 'vocal jazz'];Pneumonia
Jimmy Logan;['traditional scottish folk'];Cancer
Joan Davis;['bath indie'];Myocardial infarction
Johanna Gadski;['vintage classical singing'];Traffic collision
Johannes Heesters;['vintage schlager'];Stroke
John Anderson;['country', 'country road', 'country rock'];Myocardial infarction
John Berry;['bluegrass gospel', 'country', 'country road'];Pleurisy
Jane Russell;['torch song', 'vintage hollywood'];Respiratory failure
Jason Raize;['show tunes'];Suicide
Jean Cocteau;['early avant garde'];Myocardial infarction
Jenni Rivera;['banda', 'corrido', 'mariachi', 'ranchera', 'regional mexican'];Aviation accidents and incidents
Jerry Colonna;['movie tunes'];Renal failure
Jerry Orbach;['broadway'];Prostate cancer
John Smith;['british singer-songwriter', 'indie folk', 'liverpool indie'];Cirrhosis
John Spencer;['carnaval', 'classic dutch pop', 'levenslied', 'nederpop'];Myocardial infarction
John Trudell;['native american', 'native american contemporary'];Terminal illness
John Turner;['recorder'];Ballistic trauma
John Wayne;['old school dancehall'];Stomach cancer
Johnny Cash;['arkansas country', 'outlaw country'];Diabetes mellitus
Johnny Lee;['classic country pop', 'country', 'country rock'];Myocardial infarction
Jon Pertwee;['theme'];Myocardial infarction
Jonathan Adams;['electro jazz'];Stroke
Joseph Colombo;['accordion'];Cardiac arrest
Judith Anderson;['judaica'];Pneumonia
Judy Garland;['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz'];Barbiturate overdose
Julie Harris;['drama'];Heart failure
June Allyson;['vintage hollywood'];['Respiratory failure', 'Bronchitis']
J. Pat O'Malley;['disney', 'movie tunes'];Cardiovascular disease
Jack Lawrence;['tin pan alley'];Falling (accident)
Jackie Gleason;['adult standards', 'big band', 'easy listening', 'exotica', 'lounge'];Colorectal cancer
James Baskett;['movie tunes'];Heart failure
James Brown;['funk', 'motown', 'soul'];Pneumonia
James Cagney;['vintage hollywood'];Myocardial infarction
Kemal Monteno;['croatian pop', 'sevdah', 'turbo folk', 'yugoslav rock'];['Pneumonia', 'Sepsis']
Kit Carson;['deep adult standards'];Aorta
Lucky Luciano;['chicano rap', 'houston rap', 'latin hip hop', 'texas latin rap'];Myocardial infarction
Luis Santiago;['adoracion', 'latin christian', 'latin worship', 'papuri', 'rap cristiano'];Murder
Lynn Miles;['canadian singer-songwriter', 'ectofolk', 'folk', 'lilith'];Mesothelioma
Lawrence Welk;['easy listening', 'lounge', 'polka'];Pneumonia
Lee Van Cleef;['italian stoner rock'];Myocardial infarction
Leonard Nimoy;['comic', 'outsider'];Chronic obstructive pulmonary disease
Lesley Gore;['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'folk rock', 'rock-and-roll'];Lung cancer
Lex Goudsmit;['dutch disney'];Circulatory system
Libertad Lamarque;['tango', 'tango cancion'];Myocardial infarction
Lily Pons;['classical soprano'];Pancreatic cancer
Linda Griffiths;['welsh folk'];Breast cancer
Lorne Greene;['cowboy western'];Pneumonia
Louis Armstrong;['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz'];Myocardial infarction
Lucille Ball;['comedienne', 'drama', 'vintage radio show'];Aortic dissection
Lucille Bliss;['movie tunes'];Death by natural causes
M. S. Viswanathan;['deep indian pop'];Kidney cancer
Manolo Escobar;['copla', 'musica aragonesa', 'pop flamenco', 'rumba', 'spanish pop', 'villancicos'];Colorectal cancer
Marc Aryan;['classic turkish pop', 'turkish psych'];Cardiac arrest
Mel Blanc;['comic'];['Cardiovascular disease', 'Chronic obstructive pulmonary disease']
Michael Larson;['deep ccm'];Head and neck cancer
Mickey Katz;['klezmer'];Renal failure
Maria Radner;['classical contralto'];Germanwings Flight 9525
Marilyn Monroe;['vintage hollywood'];Barbiturate overdose
Martha Raye;['swing revival'];Cardiovascular disease
Marvin Gaye;['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul'];Murder
Mary Martin;['broadway'];Colorectal cancer
Mike O'Connor;['neo-pagan'];Myocardial infarction
Molly Picon;['yiddish folk'];Alzheimer's disease
Müşfik Kenter;['turkish jazz'];Lung cancer
Natalie Cole;['adult standards', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'soul', 'vocal jazz'];Heart failure
Natasha Richardson;['broadway', 'show tunes'];Epidural hematoma
Nino Manfredi;['classic italian pop'];Stroke
Norman Jones;['cello'];Myocardial infarction
Ogden Nash;['poetry'];Crohn's disease
Orson Welles;['drama', 'vintage radio show'];Myocardial infarction
Patrick Swayze;['yacht rock'];Pancreatic cancer
Paul Frees;['movie tunes'];Heart failure
Paul Laurence Dunbar;['poetry'];Tuberculosis
Paul Newman;['math rock'];Lung cancer
Pearl Bailey;['movie tunes'];Atherosclerosis
Peggy Lee;['adult standards', 'brill building pop', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz'];Diabetes mellitus
Peter Cook;['british comedy'];Gastrointestinal bleeding
Peter Harvey;['classical baritone'];Pancreatic cancer
Peter Lawford;['vintage hollywood'];['Cardiac arrest', 'Liver failure']
Peter Orlovsky;['beat poetry', 'experimental poetry'];Lung cancer
Pat O'Brien;['deep free jazz'];Myocardial infarction
Phil Harris;['movie tunes'];Stroke
Philip Larkin;['poetry'];Esophageal cancer
Philip Seymour Hoffman;['popgaze'];Combined drug intoxication
Pier Angeli;['musica piemonteisa'];Barbiturate overdose
Pinto Colvig;['disney'];Lung cancer
Preben Kaas;['dansktop'];Suicide
Robert Ellis;['alternative country', 'deep new americana', 'indie folk', 'new americana', 'stomp and holler'];Cardiac arrest
Robert Goulet;['adult standards', 'easy listening', 'lounge'];Idiopathic pulmonary fibrosis
Robert Mitchum;['lounge'];Lung cancer
Robert Shaw;['orchestral performance'];Myocardial infarction
Robin Williams;['comedy', 'comic'];Suicide
Rod Taylor;['dub', 'old school dancehall', 'roots reggae'];Myocardial infarction
Roger King;['indie emo'];Stroke
Roger Miller;['country', 'country rock', 'folk', 'nashville sound', 'oklahoma country', 'traditional folk'];Lung cancer
Ronnie Burns;['beatlesque'];Cancer
Rosemary Clooney;['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz'];Lung cancer
Rupert Brooke;['poetry'];Sepsis
Ruth White;['moog'];Cancer
Rhoda Williams;['disney'];Cardiac arrest
Richard Dawson;['chamber psych', 'experimental folk', 'experimental psych', 'freak folk', 'newcastle indie'];Esophageal cancer
Richard Dimbleby;['oratory'];Testicular cancer
Richard Greene;['bluegrass fiddle'];Cardiac arrest
Richard Tucker;['classical tenor', 'opera'];Myocardial infarction
Rita Hayworth;['vintage hollywood'];Alzheimer's disease
Rajesh Khanna;['classic bollywood'];Cancer
Scatman Crothers;['movie tunes'];['Lung cancer', 'Pneumonia']
Sergei Rachmaninoff;['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical'];Melanoma
Shirley Temple;['vintage hollywood'];Chronic obstructive pulmonary disease
Stan Freberg;['comic', 'parody'];Pneumonia
