title,description,cause of death
Amit_Saigal,Musician,Drowning
Andrij_Savka,Lemko bandit,Capital punishment
Anita_Morris,Actress singer dancer,Ovarian cancer
Alberta_Gay,American musician,Bone tumor
Azean_Irdawaty,Malaysian actress and singer,Liver failure
Barbara_Lang_(film_actress),American actor singer and model,Pneumonia
Benay_Venuta,American actor-singer,Lung cancer
Bill_Lee_(singer),American singer,Brain tumor
Blaine_Stubblefield,American singer,Liver cancer
Bob_Haymes,American actor musician songwriter,Amyotrophic lateral sclerosis
Bob_Marley,Singer songwriter guitarist,Melanoma
Connie_Haines,American singer,Myasthenia gravis
David_Haskell,Actor singer,Brain tumor
Don_Grady,Actor composer musician,Cancer
Edward_J._Lakso,American screenwriter and music composer,Parkinson's disease
Frankie_Randall_(singer),Americansinger,Lung cancer
Gary_McFarland,American musician,Methadone
Gary_Miller_(singer),British singer,Myocardial infarction
Gino_Piserchio,Actor musician composer,AIDS
Hilly_Kristal,American musician,Lung cancer
Hugo_Avendaño,Singer,Pancreatic cancer
Herbert_Greene_(Broadway_conductor),Musical theatre composer conductor and producer,Myocardial infarction
Jimmy_MacDonald_(sound_effects_artist),Animator voice actor musician and head of Disney sound effects department,Heart failure
Joe_E._Lewis,American singer and comedian,Myocardial infarction
Jennifer_Worth,British nurse musician and author,Esophageal cancer
John_Handcox,American songwriter,Cancer
John_Mitchum,American actor and musician,Stroke
Johnny_Cash,Singer and songwriter,Diabetes mellitus
José_Carlos_Schwarz,Guinea-Bissauan musician,Aeroflot Flight 331
Katalin_Karády,Hungarian actor and singer,Death by natural causes
Lorraine_Geller,American musician,Heart failure
Marc_Aryan,French / Belgian / Armenian singer songwriter musician music producer,Cardiac arrest
Marti_Caine,Comedian singer,Lymphoma
Pat_Kirkwood_(actress),British actor and singer,Alzheimer's disease
Patrice_Wymore,Actress and singer,Death by natural causes
Poppa_Neutrino,raft builder street musician philosopher,Heart failure
Roberta_Dodd_Crawford,American opera singer,Myocardial infarction
Rossano_Brazzi,Actor singer,Nervous system
Rex_Everhart,American actor singer,Lung cancer
Sheila_Guyse,African-American singer actress and recording artist,Alzheimer's disease
Salmah_Ismail,Malaysian actor-singer,Jaundice
Salwa_Al_Katrib,Lebanese singer,Cerebral hemorrhage
Suzanne_Tamim,Lebanese singer,Murder
Trevor_Williams_(violinist),British violinist,Parkinson's disease
Vivian_Dandridge,American actor and singer,Stroke
Wade_Dominguez,American actor model singer and dancer,Respiratory failure
